task_id,epic_id,epic_name,title,goal,priority,dependencies,inputs,outputs,subtasks,acceptance_criteria
E01-T01,E01,Repository bootstrap and environment,Создать skeleton репозитория,"Реализовать завершенный LEGO-компонент в эпике ""Repository bootstrap and environment"" без скрытых зависимостей и с явными acceptance criteria.",P0,E00-T10,config files; repository state,artifact for создать skeleton репозитория,"Уточнить границы и инварианты для задачи ""Создать skeleton репозитория"" | Реализовать основной функциональный путь для задачи ""Создать skeleton репозитория"" | Добавить логирование, артефакты и manifests для задачи ""Создать skeleton репозитория"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E01-T02,E01,Repository bootstrap and environment,Настроить package manager и lockfile,"Реализовать завершенный LEGO-компонент в эпике ""Repository bootstrap and environment"" без скрытых зависимостей и с явными acceptance criteria.",P0,E01-T01; E00-T10,config files; repository state,artifact for настроить package manager и lockfile,"Уточнить границы и инварианты для задачи ""Настроить package manager и lockfile"" | Реализовать основной функциональный путь для задачи ""Настроить package manager и lockfile"" | Добавить логирование, артефакты и manifests для задачи ""Настроить package manager и lockfile"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E01-T03,E01,Repository bootstrap and environment,Добавить pyproject и dev tooling,"Реализовать завершенный LEGO-компонент в эпике ""Repository bootstrap and environment"" без скрытых зависимостей и с явными acceptance criteria.",P0,E01-T02; E00-T10,config files; repository state,artifact for добавить pyproject и dev tooling,"Уточнить границы и инварианты для задачи ""Добавить pyproject и dev tooling"" | Реализовать основной функциональный путь для задачи ""Добавить pyproject и dev tooling"" | Добавить логирование, артефакты и manifests для задачи ""Добавить pyproject и dev tooling"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E01-T04,E01,Repository bootstrap and environment,Настроить Makefile и стандартные команды,"Реализовать завершенный LEGO-компонент в эпике ""Repository bootstrap and environment"" без скрытых зависимостей и с явными acceptance criteria.",P0,E01-T03,config files; repository state,artifact for настроить makefile и стандартные команды,"Уточнить границы и инварианты для задачи ""Настроить Makefile и стандартные команды"" | Реализовать основной функциональный путь для задачи ""Настроить Makefile и стандартные команды"" | Добавить логирование, артефакты и manifests для задачи ""Настроить Makefile и стандартные команды"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E01-T05,E01,Repository bootstrap and environment,Настроить pre-commit hooks,"Реализовать завершенный LEGO-компонент в эпике ""Repository bootstrap and environment"" без скрытых зависимостей и с явными acceptance criteria.",P0,E01-T04,config files; repository state,artifact for настроить pre-commit hooks,"Уточнить границы и инварианты для задачи ""Настроить pre-commit hooks"" | Реализовать основной функциональный путь для задачи ""Настроить pre-commit hooks"" | Добавить логирование, артефакты и manifests для задачи ""Настроить pre-commit hooks"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E01-T06,E01,Repository bootstrap and environment,Настроить pytest structure и smoke test,"Реализовать завершенный LEGO-компонент в эпике ""Repository bootstrap and environment"" без скрытых зависимостей и с явными acceptance criteria.",P0,E01-T05,config files; repository state,artifact for настроить pytest structure и smoke test,"Уточнить границы и инварианты для задачи ""Настроить pytest structure и smoke test"" | Реализовать основной функциональный путь для задачи ""Настроить pytest structure и smoke test"" | Добавить логирование, артефакты и manifests для задачи ""Настроить pytest structure и smoke test"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E01-T07,E01,Repository bootstrap and environment,Настроить lint/format/type-check pipeline,"Реализовать завершенный LEGO-компонент в эпике ""Repository bootstrap and environment"" без скрытых зависимостей и с явными acceptance criteria.",P0,E01-T06,config files; repository state,artifact for настроить lint/format/type-check pipeline,"Уточнить границы и инварианты для задачи ""Настроить lint/format/type-check pipeline"" | Реализовать основной функциональный путь для задачи ""Настроить lint/format/type-check pipeline"" | Добавить логирование, артефакты и manifests для задачи ""Настроить lint/format/type-check pipeline"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E01-T08,E01,Repository bootstrap and environment,Подготовить .env.example и secrets policy,"Реализовать завершенный LEGO-компонент в эпике ""Repository bootstrap and environment"" без скрытых зависимостей и с явными acceptance criteria.",P0,E01-T07,config files; repository state,artifact for подготовить .env.example и secrets policy,"Уточнить границы и инварианты для задачи ""Подготовить .env.example и secrets policy"" | Реализовать основной функциональный путь для задачи ""Подготовить .env.example и secrets policy"" | Добавить логирование, артефакты и manifests для задачи ""Подготовить .env.example и secrets policy"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E01-T09,E01,Repository bootstrap and environment,Сделать reproducible local runbook,"Реализовать завершенный LEGO-компонент в эпике ""Repository bootstrap and environment"" без скрытых зависимостей и с явными acceptance criteria.",P0,E01-T08,config files; repository state,artifact for сделать reproducible local runbook,"Уточнить границы и инварианты для задачи ""Сделать reproducible local runbook"" | Реализовать основной функциональный путь для задачи ""Сделать reproducible local runbook"" | Добавить логирование, артефакты и manifests для задачи ""Сделать reproducible local runbook"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E01-T10,E01,Repository bootstrap and environment,Сделать bootstrap script для новой машины,"Реализовать завершенный LEGO-компонент в эпике ""Repository bootstrap and environment"" без скрытых зависимостей и с явными acceptance criteria.",P0,E01-T09,config files; repository state,artifact for сделать bootstrap script для новой машины,"Уточнить границы и инварианты для задачи ""Сделать bootstrap script для новой машины"" | Реализовать основной функциональный путь для задачи ""Сделать bootstrap script для новой машины"" | Добавить логирование, артефакты и manifests для задачи ""Сделать bootstrap script для новой машины"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E02-T01,E02,"Configuration, logging and experiment tracking",Создать schema для project config,"Реализовать завершенный LEGO-компонент в эпике ""Configuration, logging and experiment tracking"" без скрытых зависимостей и с явными acceptance criteria.",P0,E01-T10,config files; repository state,artifact for создать schema для project config,"Уточнить границы и инварианты для задачи ""Создать schema для project config"" | Реализовать основной функциональный путь для задачи ""Создать schema для project config"" | Добавить логирование, артефакты и manifests для задачи ""Создать schema для project config"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E02-T02,E02,"Configuration, logging and experiment tracking",Создать schema для data source config,"Реализовать завершенный LEGO-компонент в эпике ""Configuration, logging and experiment tracking"" без скрытых зависимостей и с явными acceptance criteria.",P0,E02-T01; E01-T10,config files; repository state,artifact for создать schema для data source config,"Уточнить границы и инварианты для задачи ""Создать schema для data source config"" | Реализовать основной функциональный путь для задачи ""Создать schema для data source config"" | Добавить логирование, артефакты и manifests для задачи ""Создать schema для data source config"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E02-T03,E02,"Configuration, logging and experiment tracking",Создать schema для experiment config,"Реализовать завершенный LEGO-компонент в эпике ""Configuration, logging and experiment tracking"" без скрытых зависимостей и с явными acceptance criteria.",P0,E02-T02; E01-T10,config files; repository state,artifact for создать schema для experiment config,"Уточнить границы и инварианты для задачи ""Создать schema для experiment config"" | Реализовать основной функциональный путь для задачи ""Создать schema для experiment config"" | Добавить логирование, артефакты и manifests для задачи ""Создать schema для experiment config"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E02-T04,E02,"Configuration, logging and experiment tracking",Реализовать config loader и validation,"Реализовать завершенный LEGO-компонент в эпике ""Configuration, logging and experiment tracking"" без скрытых зависимостей и с явными acceptance criteria.",P0,E02-T03,config files; repository state,artifact for реализовать config loader и validation,"Уточнить границы и инварианты для задачи ""Реализовать config loader и validation"" | Реализовать основной функциональный путь для задачи ""Реализовать config loader и validation"" | Добавить логирование, артефакты и manifests для задачи ""Реализовать config loader и validation"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E02-T05,E02,"Configuration, logging and experiment tracking",Реализовать config hash и snapshot persistence,"Реализовать завершенный LEGO-компонент в эпике ""Configuration, logging and experiment tracking"" без скрытых зависимостей и с явными acceptance criteria.",P0,E02-T04,config files; repository state,artifact for реализовать config hash и snapshot persistence,"Уточнить границы и инварианты для задачи ""Реализовать config hash и snapshot persistence"" | Реализовать основной функциональный путь для задачи ""Реализовать config hash и snapshot persistence"" | Добавить логирование, артефакты и manifests для задачи ""Реализовать config hash и snapshot persistence"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E02-T06,E02,"Configuration, logging and experiment tracking",Настроить structured logging,"Реализовать завершенный LEGO-компонент в эпике ""Configuration, logging and experiment tracking"" без скрытых зависимостей и с явными acceptance criteria.",P0,E02-T05,config files; repository state,artifact for настроить structured logging,"Уточнить границы и инварианты для задачи ""Настроить structured logging"" | Реализовать основной функциональный путь для задачи ""Настроить structured logging"" | Добавить логирование, артефакты и manifests для задачи ""Настроить structured logging"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E02-T07,E02,"Configuration, logging and experiment tracking",Настроить MLflow experiment hierarchy,"Реализовать завершенный LEGO-компонент в эпике ""Configuration, logging and experiment tracking"" без скрытых зависимостей и с явными acceptance criteria.",P0,E02-T06,config files; repository state,artifact for настроить mlflow experiment hierarchy,"Уточнить границы и инварианты для задачи ""Настроить MLflow experiment hierarchy"" | Реализовать основной функциональный путь для задачи ""Настроить MLflow experiment hierarchy"" | Добавить логирование, артефакты и manifests для задачи ""Настроить MLflow experiment hierarchy"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E02-T08,E02,"Configuration, logging and experiment tracking",Логировать dataset manifests как артефакты,"Реализовать завершенный LEGO-компонент в эпике ""Configuration, logging and experiment tracking"" без скрытых зависимостей и с явными acceptance criteria.",P0,E02-T07,config files; repository state,artifact for логировать dataset manifests как артефакты,"Уточнить границы и инварианты для задачи ""Логировать dataset manifests как артефакты"" | Реализовать основной функциональный путь для задачи ""Логировать dataset manifests как артефакты"" | Добавить логирование, артефакты и manifests для задачи ""Логировать dataset manifests как артефакты"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E02-T09,E02,"Configuration, logging and experiment tracking",Логировать feature registry snapshot в каждом run,"Реализовать завершенный LEGO-компонент в эпике ""Configuration, logging and experiment tracking"" без скрытых зависимостей и с явными acceptance criteria.",P0,E02-T08,config files; repository state,artifact for логировать feature registry snapshot в каждом run,"Уточнить границы и инварианты для задачи ""Логировать feature registry snapshot в каждом run"" | Реализовать основной функциональный путь для задачи ""Логировать feature registry snapshot в каждом run"" | Добавить логирование, артефакты и manifests для задачи ""Логировать feature registry snapshot в каждом run"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E02-T10,E02,"Configuration, logging and experiment tracking",Логировать git commit и environment fingerprint,"Реализовать завершенный LEGO-компонент в эпике ""Configuration, logging and experiment tracking"" без скрытых зависимостей и с явными acceptance criteria.",P0,E02-T09,config files; repository state,artifact for логировать git commit и environment fingerprint,"Уточнить границы и инварианты для задачи ""Логировать git commit и environment fingerprint"" | Реализовать основной функциональный путь для задачи ""Логировать git commit и environment fingerprint"" | Добавить логирование, артефакты и manifests для задачи ""Логировать git commit и environment fingerprint"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E03-T01,E03,"Calendars, timestamps and identifiers",Реализовать exchange calendar adapter,"Реализовать завершенный LEGO-компонент в эпике ""Calendars, timestamps and identifiers"" без скрытых зависимостей и с явными acceptance criteria.",P0,E02-T10,config files; repository state; outputs of previous epics,artifact for реализовать exchange calendar adapter,"Уточнить границы и инварианты для задачи ""Реализовать exchange calendar adapter"" | Реализовать основной функциональный путь для задачи ""Реализовать exchange calendar adapter"" | Добавить логирование, артефакты и manifests для задачи ""Реализовать exchange calendar adapter"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E03-T02,E03,"Calendars, timestamps and identifiers",Реализовать next/prev trading day utilities,"Реализовать завершенный LEGO-компонент в эпике ""Calendars, timestamps and identifiers"" без скрытых зависимостей и с явными acceptance criteria.",P0,E03-T01; E02-T10,config files; repository state; outputs of previous epics,artifact for реализовать next/prev trading day utilities,"Уточнить границы и инварианты для задачи ""Реализовать next/prev trading day utilities"" | Реализовать основной функциональный путь для задачи ""Реализовать next/prev trading day utilities"" | Добавить логирование, артефакты и manifests для задачи ""Реализовать next/prev trading day utilities"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E03-T03,E03,"Calendars, timestamps and identifiers",Реализовать trading-day distance utility,"Реализовать завершенный LEGO-компонент в эпике ""Calendars, timestamps and identifiers"" без скрытых зависимостей и с явными acceptance criteria.",P0,E03-T02; E02-T10,config files; repository state; outputs of previous epics,artifact for реализовать trading-day distance utility,"Уточнить границы и инварианты для задачи ""Реализовать trading-day distance utility"" | Реализовать основной функциональный путь для задачи ""Реализовать trading-day distance utility"" | Добавить логирование, артефакты и manifests для задачи ""Реализовать trading-day distance utility"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E03-T04,E03,"Calendars, timestamps and identifiers",Зафиксировать decision timestamp semantics,"Реализовать завершенный LEGO-компонент в эпике ""Calendars, timestamps and identifiers"" без скрытых зависимостей и с явными acceptance criteria.",P0,E03-T03,config files; repository state; outputs of previous epics,artifact for зафиксировать decision timestamp semantics,"Уточнить границы и инварианты для задачи ""Зафиксировать decision timestamp semantics"" | Реализовать основной функциональный путь для задачи ""Зафиксировать decision timestamp semantics"" | Добавить логирование, артефакты и manifests для задачи ""Зафиксировать decision timestamp semantics"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
